Sequence Gap Analysis
==================================================
Sequence_ID	Gap_Count	Gap_Percentage
MF158191.1	1362	73.34
MF158192.1	1362	73.34
MF158193.1	1362	73.34
MF158194.1	1362	73.34
MF158195.1	1362	73.34
MF158196.1	1362	73.34
MF158197.1	1362	73.34
MF158198.1	1362	73.34
MF158199.1	1362	73.34
MF681695.1	234	12.60
MF681696.1	234	12.60

Position Gap Analysis
==================================================
Position	Gap_Count	Gap_Percentage
1	47	53.41
2	47	53.41
3	47	53.41
4	47	53.41
5	47	53.41
6	47	53.41
7	47	53.41
8	47	53.41
9	47	53.41
10	47	53.41
11	47	53.41
12	47	53.41
13	47	53.41
14	47	53.41
15	47	53.41
16	47	53.41
17	47	53.41
18	47	53.41
19	47	53.41
20	47	53.41
21	30	34.09
22	8	9.09
23	6	6.82
24	6	6.82
25	6	6.82
26	6	6.82
27	6	6.82
28	6	6.82
29	6	6.82
30	6	6.82
31	6	6.82
32	6	6.82
33	6	6.82
34	6	6.82
35	6	6.82
36	6	6.82
37	6	6.82
38	6	6.82
39	6	6.82
40	6	6.82
41	6	6.82
42	6	6.82
43	6	6.82
44	6	6.82
45	6	6.82
46	6	6.82
47	6	6.82
48	6	6.82
49	6	6.82
50	6	6.82
51	6	6.82
52	6	6.82
53	6	6.82
54	6	6.82
55	6	6.82
56	6	6.82
57	6	6.82
58	6	6.82
59	6	6.82
60	6	6.82
61	6	6.82
62	6	6.82
63	6	6.82
64	6	6.82
65	6	6.82
66	6	6.82
67	6	6.82
68	6	6.82
69	6	6.82
70	6	6.82
71	6	6.82
72	6	6.82
73	6	6.82
74	6	6.82
75	6	6.82
76	6	6.82
77	6	6.82
78	4	4.55
79	4	4.55
80	4	4.55
81	4	4.55
82	4	4.55
83	4	4.55
84	4	4.55
85	4	4.55
86	4	4.55
87	4	4.55
88	4	4.55
89	4	4.55
90	4	4.55
91	4	4.55
92	4	4.55
93	4	4.55
94	4	4.55
95	4	4.55
96	4	4.55
97	4	4.55
98	4	4.55
99	4	4.55
100	4	4.55
101	4	4.55
102	4	4.55
103	4	4.55
104	4	4.55
105	4	4.55
106	4	4.55
107	4	4.55
108	4	4.55
109	4	4.55
110	4	4.55
111	4	4.55
112	4	4.55
113	4	4.55
114	4	4.55
115	4	4.55
116	4	4.55
117	4	4.55
118	4	4.55
119	4	4.55
120	4	4.55
121	4	4.55
122	4	4.55
123	4	4.55
124	4	4.55
125	4	4.55
126	4	4.55
127	4	4.55
128	4	4.55
129	4	4.55
130	4	4.55
131	4	4.55
132	4	4.55
133	4	4.55
134	4	4.55
135	4	4.55
136	4	4.55
137	4	4.55
138	4	4.55
139	4	4.55
140	4	4.55
141	4	4.55
142	4	4.55
143	4	4.55
144	4	4.55
145	4	4.55
146	4	4.55
147	4	4.55
148	4	4.55
149	4	4.55
150	4	4.55
151	4	4.55
152	4	4.55
153	4	4.55
154	4	4.55
155	4	4.55
156	4	4.55
157	4	4.55
158	4	4.55
159	4	4.55
160	4	4.55
161	4	4.55
162	4	4.55
163	4	4.55
164	4	4.55
165	4	4.55
166	4	4.55
167	4	4.55
168	4	4.55
169	4	4.55
170	4	4.55
171	4	4.55
172	4	4.55
173	4	4.55
174	4	4.55
175	4	4.55
176	4	4.55
177	4	4.55
178	4	4.55
179	4	4.55
180	4	4.55
181	4	4.55
182	4	4.55
183	4	4.55
184	4	4.55
185	4	4.55
186	4	4.55
187	4	4.55
188	4	4.55
189	4	4.55
190	4	4.55
191	4	4.55
192	4	4.55
193	4	4.55
194	4	4.55
195	4	4.55
196	4	4.55
197	4	4.55
198	4	4.55
199	4	4.55
200	4	4.55
201	4	4.55
202	4	4.55
203	4	4.55
204	4	4.55
205	4	4.55
206	4	4.55
207	4	4.55
208	4	4.55
209	4	4.55
210	4	4.55
211	4	4.55
212	4	4.55
213	4	4.55
214	4	4.55
215	4	4.55
216	4	4.55
217	4	4.55
218	4	4.55
219	4	4.55
220	4	4.55
221	4	4.55
222	4	4.55
223	4	4.55
224	4	4.55
225	4	4.55
226	4	4.55
227	4	4.55
228	4	4.55
229	4	4.55
230	4	4.55
231	4	4.55
232	2	2.27
233	2	2.27
234	2	2.27
235	2	2.27
236	2	2.27
237	2	2.27
238	2	2.27
239	2	2.27
240	2	2.27
241	2	2.27
242	2	2.27
243	2	2.27
244	2	2.27
245	2	2.27
246	2	2.27
247	2	2.27
248	2	2.27
249	2	2.27
250	2	2.27
251	2	2.27
252	2	2.27
253	2	2.27
254	86	97.73
255	86	97.73
256	86	97.73
257	2	2.27
258	2	2.27
259	2	2.27
260	2	2.27
261	2	2.27
262	2	2.27
263	2	2.27
264	2	2.27
265	2	2.27
266	2	2.27
267	2	2.27
268	2	2.27
269	2	2.27
270	2	2.27
271	2	2.27
272	2	2.27
273	2	2.27
274	2	2.27
275	2	2.27
276	2	2.27
277	2	2.27
278	2	2.27
279	2	2.27
280	2	2.27
281	2	2.27
282	2	2.27
283	2	2.27
284	2	2.27
285	2	2.27
286	2	2.27
287	2	2.27
288	2	2.27
289	2	2.27
290	2	2.27
291	2	2.27
292	2	2.27
293	2	2.27
294	2	2.27
295	2	2.27
296	2	2.27
297	2	2.27
298	2	2.27
299	2	2.27
300	2	2.27
301	2	2.27
302	2	2.27
303	2	2.27
304	2	2.27
305	2	2.27
306	2	2.27
307	2	2.27
308	2	2.27
309	2	2.27
310	2	2.27
311	2	2.27
312	2	2.27
313	2	2.27
314	2	2.27
315	2	2.27
316	2	2.27
317	2	2.27
318	2	2.27
319	2	2.27
320	2	2.27
321	2	2.27
322	2	2.27
323	2	2.27
324	2	2.27
325	2	2.27
326	2	2.27
327	2	2.27
328	2	2.27
329	2	2.27
330	2	2.27
331	2	2.27
332	2	2.27
333	2	2.27
334	2	2.27
335	2	2.27
336	2	2.27
337	2	2.27
338	2	2.27
339	2	2.27
340	2	2.27
341	2	2.27
342	2	2.27
343	2	2.27
344	2	2.27
345	2	2.27
346	2	2.27
347	2	2.27
348	2	2.27
349	2	2.27
350	2	2.27
351	2	2.27
352	2	2.27
353	2	2.27
354	2	2.27
355	2	2.27
356	2	2.27
357	2	2.27
358	2	2.27
359	2	2.27
360	2	2.27
361	2	2.27
362	2	2.27
363	2	2.27
364	2	2.27
365	2	2.27
366	2	2.27
367	2	2.27
368	2	2.27
369	2	2.27
370	2	2.27
371	2	2.27
372	2	2.27
373	2	2.27
374	2	2.27
375	2	2.27
376	2	2.27
377	2	2.27
378	2	2.27
379	2	2.27
380	2	2.27
381	2	2.27
382	2	2.27
383	2	2.27
384	2	2.27
385	2	2.27
386	2	2.27
387	2	2.27
388	2	2.27
389	2	2.27
390	2	2.27
391	2	2.27
392	2	2.27
393	2	2.27
394	2	2.27
395	2	2.27
396	2	2.27
397	2	2.27
398	2	2.27
399	2	2.27
400	2	2.27
401	2	2.27
402	2	2.27
403	2	2.27
404	2	2.27
405	2	2.27
406	2	2.27
407	2	2.27
408	2	2.27
409	2	2.27
410	2	2.27
411	2	2.27
412	2	2.27
413	2	2.27
414	2	2.27
415	2	2.27
416	2	2.27
417	2	2.27
418	2	2.27
419	2	2.27
420	2	2.27
421	2	2.27
422	2	2.27
423	2	2.27
424	2	2.27
425	2	2.27
426	2	2.27
427	2	2.27
428	2	2.27
429	2	2.27
430	2	2.27
431	2	2.27
432	2	2.27
433	2	2.27
434	2	2.27
435	2	2.27
436	2	2.27
437	2	2.27
438	2	2.27
439	2	2.27
440	2	2.27
441	2	2.27
442	2	2.27
443	2	2.27
444	2	2.27
445	2	2.27
446	2	2.27
447	2	2.27
448	2	2.27
449	2	2.27
450	2	2.27
451	2	2.27
452	2	2.27
453	2	2.27
454	2	2.27
455	2	2.27
456	2	2.27
457	2	2.27
458	2	2.27
459	2	2.27
460	2	2.27
461	2	2.27
462	2	2.27
463	2	2.27
464	2	2.27
465	2	2.27
466	2	2.27
467	2	2.27
468	2	2.27
469	2	2.27
470	2	2.27
471	2	2.27
472	2	2.27
473	2	2.27
474	2	2.27
475	2	2.27
476	2	2.27
477	2	2.27
478	2	2.27
479	2	2.27
480	2	2.27
481	2	2.27
482	2	2.27
483	4	4.55
484	4	4.55
485	4	4.55
486	4	4.55
487	4	4.55
488	4	4.55
489	4	4.55
490	4	4.55
491	4	4.55
492	4	4.55
493	4	4.55
494	4	4.55
495	4	4.55
496	4	4.55
497	4	4.55
498	4	4.55
499	4	4.55
500	4	4.55
501	4	4.55
502	4	4.55
503	4	4.55
504	4	4.55
505	4	4.55
506	4	4.55
507	4	4.55
508	4	4.55
509	4	4.55
510	4	4.55
511	21	23.86
512	21	23.86
513	21	23.86
514	22	25.00
515	22	25.00
516	22	25.00
517	22	25.00
518	63	71.59
519	63	71.59
520	85	96.59
521	86	97.73
522	86	97.73
523	86	97.73
524	86	97.73
525	86	97.73
526	86	97.73
527	86	97.73
528	86	97.73
529	86	97.73
530	86	97.73
531	86	97.73
532	86	97.73
533	86	97.73
534	86	97.73
535	86	97.73
536	86	97.73
537	86	97.73
538	86	97.73
539	86	97.73
540	86	97.73
541	86	97.73
542	86	97.73
543	86	97.73
544	86	97.73
545	86	97.73
546	86	97.73
547	86	97.73
548	86	97.73
549	86	97.73
550	86	97.73
551	86	97.73
552	86	97.73
553	86	97.73
554	86	97.73
555	86	97.73
556	86	97.73
557	86	97.73
558	86	97.73
559	86	97.73
560	86	97.73
561	86	97.73
562	86	97.73
563	86	97.73
564	86	97.73
565	86	97.73
566	86	97.73
567	86	97.73
568	86	97.73
569	86	97.73
570	86	97.73
571	86	97.73
572	86	97.73
573	86	97.73
574	86	97.73
575	86	97.73
576	86	97.73
577	86	97.73
578	86	97.73
579	86	97.73
580	86	97.73
581	86	97.73
582	86	97.73
583	86	97.73
584	86	97.73
585	86	97.73
586	86	97.73
587	86	97.73
588	86	97.73
589	86	97.73
590	86	97.73
591	86	97.73
592	86	97.73
593	86	97.73
594	86	97.73
595	86	97.73
596	86	97.73
597	86	97.73
598	86	97.73
599	86	97.73
600	86	97.73
601	86	97.73
602	86	97.73
603	86	97.73
604	86	97.73
605	86	97.73
606	86	97.73
607	86	97.73
608	86	97.73
609	86	97.73
610	86	97.73
611	86	97.73
612	86	97.73
613	86	97.73
614	86	97.73
615	86	97.73
616	86	97.73
617	86	97.73
618	86	97.73
619	86	97.73
620	86	97.73
621	86	97.73
622	86	97.73
623	86	97.73
624	86	97.73
625	86	97.73
626	86	97.73
627	86	97.73
628	86	97.73
629	86	97.73
630	86	97.73
631	86	97.73
632	86	97.73
633	86	97.73
634	86	97.73
635	86	97.73
636	86	97.73
637	86	97.73
638	86	97.73
639	86	97.73
640	86	97.73
641	86	97.73
642	86	97.73
643	86	97.73
644	86	97.73
645	86	97.73
646	86	97.73
647	86	97.73
648	86	97.73
649	86	97.73
650	86	97.73
651	86	97.73
652	86	97.73
653	86	97.73
654	86	97.73
655	86	97.73
656	86	97.73
657	86	97.73
658	86	97.73
659	86	97.73
660	86	97.73
661	86	97.73
662	86	97.73
663	86	97.73
664	86	97.73
665	86	97.73
666	86	97.73
667	86	97.73
668	86	97.73
669	86	97.73
670	86	97.73
671	86	97.73
672	86	97.73
673	86	97.73
674	86	97.73
675	86	97.73
676	86	97.73
677	86	97.73
678	86	97.73
679	86	97.73
680	86	97.73
681	86	97.73
682	86	97.73
683	86	97.73
684	86	97.73
685	86	97.73
686	86	97.73
687	86	97.73
688	86	97.73
689	86	97.73
690	86	97.73
691	86	97.73
692	86	97.73
693	86	97.73
694	86	97.73
695	86	97.73
696	86	97.73
697	86	97.73
698	86	97.73
699	86	97.73
700	86	97.73
701	86	97.73
702	86	97.73
703	86	97.73
704	86	97.73
705	86	97.73
706	86	97.73
707	86	97.73
708	86	97.73
709	86	97.73
710	86	97.73
711	86	97.73
712	86	97.73
713	86	97.73
714	86	97.73
715	86	97.73
716	86	97.73
717	86	97.73
718	86	97.73
719	86	97.73
720	86	97.73
721	86	97.73
722	86	97.73
723	86	97.73
724	86	97.73
725	86	97.73
726	86	97.73
727	86	97.73
728	86	97.73
729	86	97.73
730	86	97.73
731	86	97.73
732	86	97.73
733	86	97.73
734	86	97.73
735	86	97.73
736	86	97.73
737	86	97.73
738	86	97.73
739	86	97.73
740	86	97.73
741	86	97.73
742	86	97.73
743	86	97.73
744	86	97.73
745	86	97.73
746	86	97.73
747	86	97.73
748	86	97.73
749	86	97.73
750	86	97.73
751	86	97.73
752	86	97.73
753	86	97.73
754	86	97.73
755	86	97.73
756	86	97.73
757	86	97.73
758	86	97.73
759	86	97.73
760	86	97.73
761	86	97.73
762	86	97.73
763	86	97.73
764	86	97.73
765	86	97.73
766	86	97.73
767	86	97.73
768	86	97.73
769	86	97.73
770	86	97.73
771	86	97.73
772	86	97.73
773	86	97.73
774	86	97.73
775	86	97.73
776	86	97.73
777	86	97.73
778	86	97.73
779	86	97.73
780	86	97.73
781	86	97.73
782	86	97.73
783	86	97.73
784	86	97.73
785	86	97.73
786	86	97.73
787	86	97.73
788	86	97.73
789	86	97.73
790	86	97.73
791	86	97.73
792	86	97.73
793	86	97.73
794	86	97.73
795	86	97.73
796	86	97.73
797	86	97.73
798	86	97.73
799	86	97.73
800	86	97.73
801	86	97.73
802	86	97.73
803	86	97.73
804	86	97.73
805	86	97.73
806	86	97.73
807	86	97.73
808	86	97.73
809	86	97.73
810	86	97.73
811	86	97.73
812	86	97.73
813	86	97.73
814	86	97.73
815	86	97.73
816	86	97.73
817	86	97.73
818	86	97.73
819	86	97.73
820	86	97.73
821	86	97.73
822	86	97.73
823	86	97.73
824	86	97.73
825	86	97.73
826	86	97.73
827	86	97.73
828	86	97.73
829	86	97.73
830	86	97.73
831	86	97.73
832	86	97.73
833	86	97.73
834	86	97.73
835	86	97.73
836	86	97.73
837	86	97.73
838	86	97.73
839	86	97.73
840	86	97.73
841	86	97.73
842	86	97.73
843	86	97.73
844	86	97.73
845	86	97.73
846	86	97.73
847	86	97.73
848	86	97.73
849	86	97.73
850	86	97.73
851	86	97.73
852	86	97.73
853	86	97.73
854	86	97.73
855	86	97.73
856	86	97.73
857	86	97.73
858	86	97.73
859	86	97.73
860	86	97.73
861	86	97.73
862	86	97.73
863	86	97.73
864	86	97.73
865	86	97.73
866	86	97.73
867	86	97.73
868	86	97.73
869	86	97.73
870	86	97.73
871	86	97.73
872	86	97.73
873	86	97.73
874	86	97.73
875	86	97.73
876	86	97.73
877	86	97.73
878	86	97.73
879	86	97.73
880	86	97.73
881	86	97.73
882	86	97.73
883	86	97.73
884	86	97.73
885	86	97.73
886	86	97.73
887	86	97.73
888	86	97.73
889	86	97.73
890	86	97.73
891	86	97.73
892	86	97.73
893	86	97.73
894	86	97.73
895	86	97.73
896	86	97.73
897	86	97.73
898	86	97.73
899	86	97.73
900	86	97.73
901	86	97.73
902	86	97.73
903	86	97.73
904	86	97.73
905	86	97.73
906	86	97.73
907	86	97.73
908	86	97.73
909	86	97.73
910	86	97.73
911	86	97.73
912	86	97.73
913	86	97.73
914	86	97.73
915	84	95.45
916	84	95.45
917	84	95.45
918	84	95.45
919	84	95.45
920	84	95.45
921	84	95.45
922	84	95.45
923	84	95.45
924	84	95.45
925	84	95.45
926	84	95.45
927	84	95.45
928	84	95.45
929	84	95.45
930	84	95.45
931	84	95.45
932	84	95.45
933	84	95.45
934	84	95.45
935	84	95.45
936	84	95.45
937	84	95.45
938	84	95.45
939	84	95.45
940	84	95.45
941	84	95.45
942	84	95.45
943	84	95.45
944	84	95.45
945	84	95.45
946	84	95.45
947	84	95.45
948	84	95.45
949	84	95.45
950	84	95.45
951	84	95.45
952	84	95.45
953	84	95.45
954	84	95.45
955	84	95.45
956	84	95.45
957	84	95.45
958	84	95.45
959	84	95.45
960	84	95.45
961	84	95.45
962	84	95.45
963	84	95.45
964	84	95.45
965	84	95.45
966	84	95.45
967	84	95.45
968	84	95.45
969	84	95.45
970	84	95.45
971	84	95.45
972	84	95.45
973	84	95.45
974	84	95.45
975	84	95.45
976	84	95.45
977	84	95.45
978	84	95.45
979	84	95.45
980	84	95.45
981	84	95.45
982	84	95.45
983	84	95.45
984	84	95.45
985	84	95.45
986	84	95.45
987	84	95.45
988	84	95.45
989	84	95.45
990	84	95.45
991	84	95.45
992	84	95.45
993	84	95.45
994	84	95.45
995	84	95.45
996	84	95.45
997	84	95.45
998	84	95.45
999	84	95.45
1000	84	95.45
1001	84	95.45
1002	84	95.45
1003	84	95.45
1004	84	95.45
1005	84	95.45
1006	84	95.45
1007	84	95.45
1008	84	95.45
1009	84	95.45
1010	84	95.45
1011	84	95.45
1012	84	95.45
1013	84	95.45
1014	84	95.45
1015	84	95.45
1016	84	95.45
1017	84	95.45
1018	84	95.45
1019	84	95.45
1020	84	95.45
1021	84	95.45
1022	84	95.45
1023	84	95.45
1024	84	95.45
1025	84	95.45
1026	84	95.45
1027	84	95.45
1028	84	95.45
1029	84	95.45
1030	84	95.45
1031	84	95.45
1032	84	95.45
1033	84	95.45
1034	84	95.45
1035	84	95.45
1036	84	95.45
1037	84	95.45
1038	84	95.45
1039	84	95.45
1040	84	95.45
1041	84	95.45
1042	84	95.45
1043	84	95.45
1044	84	95.45
1045	84	95.45
1046	84	95.45
1047	84	95.45
1048	84	95.45
1049	84	95.45
1050	84	95.45
1051	84	95.45
1052	84	95.45
1053	84	95.45
1054	84	95.45
1055	84	95.45
1056	84	95.45
1057	84	95.45
1058	84	95.45
1059	84	95.45
1060	84	95.45
1061	84	95.45
1062	84	95.45
1063	84	95.45
1064	84	95.45
1065	84	95.45
1066	84	95.45
1067	84	95.45
1068	84	95.45
1069	84	95.45
1070	84	95.45
1071	84	95.45
1072	84	95.45
1073	84	95.45
1074	84	95.45
1075	84	95.45
1076	84	95.45
1077	84	95.45
1078	84	95.45
1079	84	95.45
1080	84	95.45
1081	84	95.45
1082	84	95.45
1083	84	95.45
1084	84	95.45
1085	84	95.45
1086	84	95.45
1087	84	95.45
1088	84	95.45
1089	84	95.45
1090	84	95.45
1091	84	95.45
1092	84	95.45
1093	84	95.45
1094	84	95.45
1095	84	95.45
1096	84	95.45
1097	84	95.45
1098	84	95.45
1099	84	95.45
1100	84	95.45
1101	84	95.45
1102	84	95.45
1103	84	95.45
1104	84	95.45
1105	84	95.45
1106	84	95.45
1107	84	95.45
1108	84	95.45
1109	84	95.45
1110	84	95.45
1111	84	95.45
1112	84	95.45
1113	84	95.45
1114	84	95.45
1115	84	95.45
1116	84	95.45
1117	84	95.45
1118	84	95.45
1119	84	95.45
1120	84	95.45
1121	84	95.45
1122	84	95.45
1123	84	95.45
1124	84	95.45
1125	84	95.45
1126	84	95.45
1127	84	95.45
1128	84	95.45
1129	84	95.45
1130	84	95.45
1131	84	95.45
1132	84	95.45
1133	84	95.45
1134	84	95.45
1135	84	95.45
1136	84	95.45
1137	84	95.45
1138	84	95.45
1139	84	95.45
1140	84	95.45
1141	84	95.45
1142	84	95.45
1143	84	95.45
1144	84	95.45
1145	84	95.45
1146	84	95.45
1147	84	95.45
1148	84	95.45
1149	84	95.45
1150	84	95.45
1151	84	95.45
1152	84	95.45
1153	84	95.45
1154	84	95.45
1155	84	95.45
1156	84	95.45
1157	84	95.45
1158	84	95.45
1159	84	95.45
1160	84	95.45
1161	84	95.45
1162	84	95.45
1163	84	95.45
1164	84	95.45
1165	84	95.45
1166	84	95.45
1167	84	95.45
1168	84	95.45
1169	84	95.45
1170	84	95.45
1171	84	95.45
1172	84	95.45
1173	84	95.45
1174	84	95.45
1175	84	95.45
1176	84	95.45
1177	84	95.45
1178	84	95.45
1179	84	95.45
1180	84	95.45
1181	84	95.45
1182	84	95.45
1183	84	95.45
1184	84	95.45
1185	84	95.45
1186	84	95.45
1187	84	95.45
1188	84	95.45
1189	84	95.45
1190	84	95.45
1191	84	95.45
1192	84	95.45
1193	84	95.45
1194	84	95.45
1195	84	95.45
1196	84	95.45
1197	84	95.45
1198	84	95.45
1199	84	95.45
1200	84	95.45
1201	84	95.45
1202	84	95.45
1203	84	95.45
1204	84	95.45
1205	84	95.45
1206	84	95.45
1207	84	95.45
1208	84	95.45
1209	84	95.45
1210	84	95.45
1211	84	95.45
1212	84	95.45
1213	84	95.45
1214	84	95.45
1215	84	95.45
1216	84	95.45
1217	84	95.45
1218	84	95.45
1219	84	95.45
1220	84	95.45
1221	84	95.45
1222	84	95.45
1223	84	95.45
1224	84	95.45
1225	84	95.45
1226	84	95.45
1227	84	95.45
1228	84	95.45
1229	84	95.45
1230	84	95.45
1231	84	95.45
1232	84	95.45
1233	84	95.45
1234	84	95.45
1235	84	95.45
1236	84	95.45
1237	84	95.45
1238	84	95.45
1239	84	95.45
1240	84	95.45
1241	84	95.45
1242	84	95.45
1243	84	95.45
1244	84	95.45
1245	84	95.45
1246	84	95.45
1247	84	95.45
1248	84	95.45
1249	84	95.45
1250	84	95.45
1251	84	95.45
1252	84	95.45
1253	84	95.45
1254	84	95.45
1255	84	95.45
1256	84	95.45
1257	84	95.45
1258	84	95.45
1259	84	95.45
1260	84	95.45
1261	84	95.45
1262	84	95.45
1263	84	95.45
1264	84	95.45
1265	84	95.45
1266	84	95.45
1267	84	95.45
1268	84	95.45
1269	84	95.45
1270	84	95.45
1271	84	95.45
1272	84	95.45
1273	84	95.45
1274	84	95.45
1275	84	95.45
1276	84	95.45
1277	84	95.45
1278	84	95.45
1279	84	95.45
1280	84	95.45
1281	84	95.45
1282	84	95.45
1283	84	95.45
1284	84	95.45
1285	84	95.45
1286	84	95.45
1287	84	95.45
1288	84	95.45
1289	84	95.45
1290	84	95.45
1291	84	95.45
1292	84	95.45
1293	84	95.45
1294	84	95.45
1295	84	95.45
1296	84	95.45
1297	84	95.45
1298	84	95.45
1299	84	95.45
1300	84	95.45
1301	84	95.45
1302	84	95.45
1303	84	95.45
1304	84	95.45
1305	84	95.45
1306	84	95.45
1307	84	95.45
1308	84	95.45
1309	84	95.45
1310	84	95.45
1311	84	95.45
1312	84	95.45
1313	84	95.45
1314	84	95.45
1315	84	95.45
1316	84	95.45
1317	84	95.45
1318	84	95.45
1319	84	95.45
1320	84	95.45
1321	84	95.45
1322	84	95.45
1323	84	95.45
1324	84	95.45
1325	84	95.45
1326	84	95.45
1327	84	95.45
1328	84	95.45
1329	84	95.45
1330	84	95.45
1331	84	95.45
1332	84	95.45
1333	84	95.45
1334	84	95.45
1335	84	95.45
1336	84	95.45
1337	84	95.45
1338	84	95.45
1339	84	95.45
1340	84	95.45
1341	84	95.45
1342	84	95.45
1343	84	95.45
1344	84	95.45
1345	84	95.45
1346	84	95.45
1347	84	95.45
1348	84	95.45
1349	84	95.45
1350	84	95.45
1351	84	95.45
1352	84	95.45
1353	84	95.45
1354	84	95.45
1355	84	95.45
1356	84	95.45
1357	84	95.45
1358	84	95.45
1359	84	95.45
1360	84	95.45
1361	84	95.45
1362	84	95.45
1363	84	95.45
1364	84	95.45
1365	84	95.45
1366	84	95.45
1367	84	95.45
1368	84	95.45
1369	84	95.45
1370	84	95.45
1371	84	95.45
1372	84	95.45
1373	84	95.45
1374	84	95.45
1375	84	95.45
1376	84	95.45
1377	84	95.45
1378	84	95.45
1379	84	95.45
1380	84	95.45
1381	84	95.45
1382	84	95.45
1383	84	95.45
1384	84	95.45
1385	84	95.45
1386	84	95.45
1387	84	95.45
1388	84	95.45
1389	84	95.45
1390	84	95.45
1391	84	95.45
1392	84	95.45
1393	84	95.45
1394	84	95.45
1395	84	95.45
1396	84	95.45
1397	84	95.45
1398	84	95.45
1399	84	95.45
1400	84	95.45
1401	84	95.45
1402	84	95.45
1403	84	95.45
1404	84	95.45
1405	84	95.45
1406	84	95.45
1407	84	95.45
1408	84	95.45
1409	84	95.45
1410	84	95.45
1411	84	95.45
1412	84	95.45
1413	84	95.45
1414	84	95.45
1415	84	95.45
1416	84	95.45
1417	84	95.45
1418	84	95.45
1419	84	95.45
1420	84	95.45
1421	84	95.45
1422	84	95.45
1423	84	95.45
1424	84	95.45
1425	84	95.45
1426	84	95.45
1427	84	95.45
1428	84	95.45
1429	84	95.45
1430	84	95.45
1431	84	95.45
1432	84	95.45
1433	84	95.45
1434	84	95.45
1435	84	95.45
1436	84	95.45
1437	84	95.45
1438	84	95.45
1439	84	95.45
1440	84	95.45
1441	84	95.45
1442	84	95.45
1443	84	95.45
1444	84	95.45
1445	84	95.45
1446	84	95.45
1447	84	95.45
1448	84	95.45
1449	84	95.45
1450	84	95.45
1451	84	95.45
1452	84	95.45
1453	84	95.45
1454	84	95.45
1455	84	95.45
1456	84	95.45
1457	84	95.45
1458	84	95.45
1459	84	95.45
1460	84	95.45
1461	84	95.45
1462	84	95.45
1463	84	95.45
1464	84	95.45
1465	84	95.45
1466	84	95.45
1467	84	95.45
1468	84	95.45
1469	84	95.45
1470	84	95.45
1471	84	95.45
1472	84	95.45
1473	84	95.45
1474	84	95.45
1475	84	95.45
1476	84	95.45
1477	84	95.45
1478	84	95.45
1479	84	95.45
1480	84	95.45
1481	84	95.45
1482	84	95.45
1483	84	95.45
1484	84	95.45
1485	84	95.45
1486	84	95.45
1487	84	95.45
1488	84	95.45
1489	84	95.45
1490	84	95.45
1491	84	95.45
1492	84	95.45
1493	84	95.45
1494	84	95.45
1495	84	95.45
1496	84	95.45
1497	84	95.45
1498	84	95.45
1499	84	95.45
1500	84	95.45
1501	84	95.45
1502	84	95.45
1503	84	95.45
1504	84	95.45
1505	84	95.45
1506	84	95.45
1507	84	95.45
1508	84	95.45
1509	84	95.45
1510	84	95.45
1511	84	95.45
1512	84	95.45
1513	84	95.45
1514	84	95.45
1515	84	95.45
1516	84	95.45
